brand_name,domain,signup_email,signup_date,category,notes
Nike,nike.com,your@email.com,2024-01-15,Sports,
Adidas,adidas.com,your@email.com,2024-01-15,Sports,
Patagonia,patagonia.com,your@email.com,2024-01-16,Outdoor,
Lululemon,lululemon.com,your@email.com,2024-01-16,Athletic,
REI,rei.com,your@email.com,2024-01-17,Outdoor,
Target,target.com,your@email.com,2024-01-17,Retail,
Walmart,walmart.com,your@email.com,2024-01-18,Retail,
Amazon,amazon.com,your@email.com,2024-01-18,E-commerce,
Shopify,shopify.com,your@email.com,2024-01-19,Tech,
Mailchimp,mailchimp.com,your@email.com,2024-01-19,Marketing 
